state,popestimate2019,fips
29,25398,29215
29,20563,29217
29,35649,29219
29,24730,29221
29,12873,29223
29,39592,29225
29,2013,29227
29,18289,29229
29,300576,29510
30,1068778,30000
30,9453,30001
30,13319,30003
30,6681,30005
30,6237,30007
30,10725,30009
30,1252,30011
30,81366,30013
30,5635,30015
30,11402,30017
30,1690,30019
30,8613,30021
30,9140,30023
30,2846,30025
30,11050,30027
30,103806,30029
30,114434,30031
30,1258,30033
30,13753,30035
30,821,30037
30,3379,30039
30,16484,30041
30,12221,30043
30,2007,30045
30,30458,30047
30,69432,30049
30,2337,30051
30,19980,30053
30,1664,30055
30,8600,30057
30,1862,30059
30,4397,30061
30,119600,30063
30,4633,30065
30,16606,30067
30,487,30069
30,3954,30071
30,5911,30073
30,1682,30075
30,6890,30077
30,1077,30079
30,43806,30081
30,10803,30083
30,11004,30085
30,8937,30087
30,12113,30089
30,3309,30091
30,34915,30093
30,9642,30095
30,3737,30097
30,6147,30099
30,4736,30101
30,696,30103
30,7396,30105
30,2126,30107
30,969,30109
30,161300,30111
31,1934408,31000
31,31363,31001
31,6298,31003
31,463,31005
31,745,31007
31,465,31009
31,5192,31011
31,10783,31013
31,1919,31015
31,2955,31017
31,49659,31019
31,6459,31021
31,8016,31023
31,26248,31025
31,8402,31027
31,3924,31029
31,5689,31031
31,8910,31033
31,6203,31035
31,10709,31037
31,8846,31039
31,10777,31041
31,20026,31043
31,8589,31045
31,23595,31047
31,1794,31049
31,5636,31051
31,36565,31053
31,571327,31055
31,1693,31057
31,5462,31059
31,2979,31061
31,2627,31063
31,4676,31065
31,21513,31067
31,1837,31069
31,1969,31071
31,1990,31073
31,623,31075
31,2356,31077
31,61353,31079
31,9324,31081
31,3380,31083
31,922,31085
31,2762,31087
31,10067,31089
31,682,31091
31,6445,31093
31,7046,31095
31,5071,31097
31,6495,31099
31,8034,31101
31,806,31103
31,3632,31105
31,8332,31107
31,319090,31109
31,34914,31111
