OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Area_Land_Square_Miles,Area_Water_Square_Miles,Population_Total,Population_Density_PerLandSquareMile
71,08067970900,"Census Tract 9709, La Plata County, Colorado",08067970900,LA PLATA,3.18,0,4255,1338.1
72,08067970800,"Census Tract 9708, La Plata County, Colorado",08067970800,LA PLATA,4.36,0.03,7197,1650.7
73,08067940400,"Census Tract 9404, La Plata County, Colorado",08067940400,LA PLATA,482.78,0.34,5620,11.6
74,08067970600,"Census Tract 9706, La Plata County, Colorado",08067970600,LA PLATA,281.13,4.38,9339,33.2
75,08065961900,"Census Tract 9619, Lake County, Colorado",08065961900,LAKE,361.48,6.99,2308,6.4
76,08065961700,"Census Tract 9617, Lake County, Colorado",08065961700,LAKE,15.43,0.01,5173,335.3
77,08029965100,"Census Tract 9651, Delta County, Colorado",08029965100,DELTA,18.33,0.2,4429,241.6
78,08029965200,"Census Tract 9652, Delta County, Colorado",08029965200,DELTA,109.48,1.92,3973,36.3
79,08029964600,"Census Tract 9646, Delta County, Colorado",08029964600,DELTA,256.97,0.45,3567,13.9
80,08029965000,"Census Tract 9650, Delta County, Colorado",08029965000,DELTA,318.21,1.31,4782,15
81,08029964900,"Census Tract 9649, Delta County, Colorado",08029964900,DELTA,73.93,0.5,5563,75.2
82,08029964800,"Census Tract 9648, Delta County, Colorado",08029964800,DELTA,233.04,1.27,4007,17.2
83,08029964700,"Census Tract 9647, Delta County, Colorado",08029964700,DELTA,132.08,0.9,3896,29.5
84,08003960300,"Census Tract 9603, Alamosa County, Colorado",08003960300,ALAMOSA,14.14,0,5397,381.7
85,08003960200,"Census Tract 9602, Alamosa County, Colorado",08003960200,ALAMOSA,8.87,0.02,6526,735.7
86,08113968102,"Census Tract 9681.02, San Miguel County, Colorado",08113968102,SAN MIGUEL,16.39,0.04,1963,119.8
87,08113968101,"Census Tract 9681.01, San Miguel County, Colorado",08113968101,SAN MIGUEL,20.66,0.11,1921,93
88,08113968103,"Census Tract 9681.03, San Miguel County, Colorado",08113968103,SAN MIGUEL,320.23,0.38,2015,6.3
89,08113968200,"Census Tract 9682, San Miguel County, Colorado",08113968200,SAN MIGUEL,929.34,1.48,1905,2
90,08079973600,"Census Tract 9736, Mineral County, Colorado",08079973600,MINERAL,875.67,2.02,834,1
91,08083941100,"Census Tract 9411, Montezuma County, Colorado",08083941100,MONTEZUMA,694.87,0.23,1541,2.2
92,08083969400,"Census Tract 9694, Montezuma County, Colorado",08083969400,MONTEZUMA,3.39,0.03,4162,1227.7
93,08083969100,"Census Tract 9691, Montezuma County, Colorado",08083969100,MONTEZUMA,323.91,1.21,3807,11.8
94,08083969200,"Census Tract 9692, Montezuma County, Colorado",08083969200,MONTEZUMA,491.34,0.88,2974,6.1
95,08083969000,"Census Tract 9690, Montezuma County, Colorado",08083969000,MONTEZUMA,368.41,7.87,3094,8.4
96,08083969600,"Census Tract 9696, Montezuma County, Colorado",08083969600,MONTEZUMA,131.52,0.39,5051,38.4
97,08083969300,"Census Tract 9693, Montezuma County, Colorado",08083969300,MONTEZUMA,16.09,0.02,5141,319.5
98,08003960000,"Census Tract 9600, Alamosa County, Colorado",08003960000,ALAMOSA,537.33,0.27,1637,3
99,08003960100,"Census Tract 9601, Alamosa County, Colorado",08003960100,ALAMOSA,162.31,0.41,2785,17.2
100,08091967600,"Census Tract 9676, Ouray County, Colorado",08091967600,OURAY,541.59,0.62,4653,8.6
101,08033000100,"Census Tract 1, Dolores County, Colorado",08033000100,DOLORES,1067.05,1.05,1736,1.6
102,08109977600,"Census Tract 9776, Saguache County, Colorado",08109977600,SAGUACHE,2781.43,1.67,3387,1.2
103,08109977700,"Census Tract 9777, Saguache County, Colorado",08109977700,SAGUACHE,387.1,0.05,2951,7.6
104,08105976700,"Census Tract 9767, Rio Grande County, Colorado",08105976700,RIO GRANDE,17.18,0.02,5141,299.2
105,08105977000,"Census Tract 9770, Rio Grande County, Colorado",08105977000,RIO GRANDE,890.54,0.36,4515,5.1
106,08105976800,"Census Tract 9768, Rio Grande County, Colorado",08105976800,RIO GRANDE,4.23,0.01,1774,419.4
107,08077001706,"Census Tract 17.06, Mesa County, Colorado",08077001706,MESA,2.07,0.04,6275,3031.4
108,08077001707,"Census Tract 17.07, Mesa County, Colorado",08077001707,MESA,1.88,0.02,5883,3129.3
109,08077001001,"Census Tract 10.01, Mesa County, Colorado",08077001001,MESA,2.05,0,4820,2351.2
110,08077000602,"Census Tract 6.02, Mesa County, Colorado",08077000602,MESA,1,0,4709,4709
111,08077000500,"Census Tract 5, Mesa County, Colorado",08077000500,MESA,0.47,0,3266,6948.9
112,08077000400,"Census Tract 4, Mesa County, Colorado",08077000400,MESA,1.37,0,3647,2662
113,08077001302,"Census Tract 13.02, Mesa County, Colorado",08077001302,MESA,2.88,0.04,4934,1713.2
114,08077001102,"Census Tract 11.02, Mesa County, Colorado",08077001102,MESA,1.74,0,4581,2632.8
115,08077000300,"Census Tract 3, Mesa County, Colorado",08077000300,MESA,0.56,0,1503,2683.9
116,08077000200,"Census Tract 2, Mesa County, Colorado",08077000200,MESA,0.42,0,2106,5014.3
117,08077001404,"Census Tract 14.04, Mesa County, Colorado",08077001404,MESA,6.46,0,4948,765.9
118,08077001501,"Census Tract 15.01, Mesa County, Colorado",08077001501,MESA,7.25,0.25,13132,1811.3
119,08077001403,"Census Tract 14.03, Mesa County, Colorado",08077001403,MESA,3.43,0.29,3573,1041.7
120,08077001301,"Census Tract 13.01, Mesa County, Colorado",08077001301,MESA,3.75,0.16,8891,2370.9
121,08077001002,"Census Tract 10.02, Mesa County, Colorado",08077001002,MESA,3.48,0,6736,1935.6
122,08077000900,"Census Tract 9, Mesa County, Colorado",08077000900,MESA,6.47,0.53,2915,450.5
123,08077001101,"Census Tract 11.01, Mesa County, Colorado",08077001101,MESA,2.12,0,7936,3743.4
124,08077000800,"Census Tract 8, Mesa County, Colorado",08077000800,MESA,6.1,0.15,8933,1464.4
125,08077000700,"Census Tract 7, Mesa County, Colorado",08077000700,MESA,1.35,0,3957,2931.1
126,08077001900,"Census Tract 19, Mesa County, Colorado",08077001900,MESA,1650.45,3.28,5173,3.1
127,08077000601,"Census Tract 6.01, Mesa County, Colorado",08077000601,MESA,0.99,0,4291,4334.3
128,08077001402,"Census Tract 14.02, Mesa County, Colorado",08077001402,MESA,9.27,0.37,5861,632.3
129,08077001600,"Census Tract 16, Mesa County, Colorado",08077001600,MESA,43.99,0,3548,80.7
130,08077001502,"Census Tract 15.02, Mesa County, Colorado",08077001502,MESA,385.35,1.85,7594,19.7
131,08077001703,"Census Tract 17.03, Mesa County, Colorado",08077001703,MESA,1.94,0,4366,2250.5
132,08077001800,"Census Tract 18, Mesa County, Colorado",08077001800,MESA,1146.94,4.61,3054,2.7
133,08077001702,"Census Tract 17.02, Mesa County, Colorado",08077001702,MESA,20,0.18,4589,229.5
134,08077001705,"Census Tract 17.05, Mesa County, Colorado",08077001705,MESA,2.62,0,5310,2026.7
135,08077001200,"Census Tract 12, Mesa County, Colorado",08077001200,MESA,12.57,0.36,2267,180.4
136,08019014900,"Census Tract 149, Clear Creek County, Colorado",08019014900,CLEAR CREEK,202.35,0.78,2503,12.4
137,08053973100,"Census Tract 9731, Hinsdale County, Colorado",08053973100,HINSDALE,1117.25,5.92,820,0.7
